id,name,serviceGroup,department,description,tags,unit,price,minPrice,officialWarranty,clinicWarranty,origin,avgTreatmentMinutes,avgTreatmentSessions,archivedAt,createdAt,updatedAt,createdById,updatedById
290be74d-049b-4bcd-9c50-acadfbdfeb6e,Nhổ răng khôn hàm dưới độ 2,Nhổ răng khôn,Tiểu phẫu,,,Răng,1500000,,,,,,,,2018-10-20 17:00:30+00,2025-08-26 01:56:57.071+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
0db1278c-67fa-4578-ab54-9d87a4bbe18d,Nhổ răng khôn hàm dưới độ 3A,Nhổ răng khôn,Tiểu phẫu,,,Răng,2000000,,,,,,,,2018-10-20 17:00:31+00,2025-08-26 01:55:04.066+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
1223f23f-60c9-4e0a-a91f-a1d56221bab8,Nhổ răng khôn hàm dưới độ 3B,Nhổ răng khôn,Tiểu phẫu,,,Răng,2500000,,,,,,,,2018-10-20 17:00:32+00,2025-08-26 01:55:17.225+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
15d92316-911a-4e6d-b475-7fadf0399e94,Nhổ răng khôn hàm dưới độ 4A,Nhổ răng khôn,Tiểu phẫu,,,Răng,3000000,,,,,,,,2018-10-20 17:00:33+00,2025-08-26 01:54:53.781+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
f0dd7e74-6a12-48db-86df-f5b73e1e6749,Nhổ răng khôn hàm dưới độ 4B,Nhổ răng khôn,Tiểu phẫu,,,Răng,4000000,,,,,,,,2018-10-20 17:00:34+00,2025-08-26 02:21:19.679+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
d3d43f85-9cca-4e7f-9c9a-de328a66ef59,Nhổ răng khôn hàm dưới độ 5,Nhổ răng khôn,Tiểu phẫu,,,Răng,5000000,,,,,,,,2018-10-20 17:00:36+00,2025-08-26 01:55:28.604+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
3cbb4a5e-5937-46b6-bc62-a8f37772f758,Nhổ răng khôn hàm trên lung lay độ 3 - 4,Nhổ răng khôn,Tiểu phẫu,,,Răng,300000,,,,,,,,2018-10-27 17:02:20+00,2025-08-26 01:54:15.399+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
1339b406-662f-4bce-8c34-9e52df5a4a59,Nhổ răng khôn hàm trên độ 1,Nhổ răng khôn,Tiểu phẫu,,,Răng,1000000,,,,,,,,2018-10-20 17:03:28+00,2025-08-26 01:55:55.062+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
449affcb-0086-4402-8d53-183ad9efb795,Nhổ răng khôn hàm trên độ 2,Nhổ răng khôn,Tiểu phẫu,,,Răng,1500000,,,,,,,,2018-10-20 17:03:29+00,2025-08-26 01:56:04.678+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
0b445721-3651-48ae-8cdc-5626e889f02c,Nhổ răng khôn hàm trên độ 3A,Nhổ răng khôn,Tiểu phẫu,,,Răng,2000000,,,,,,,,2018-10-20 17:00:39+00,2025-08-26 01:56:15.126+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
57d71cfa-9424-4a32-9e89-d1854849dbda,Nhổ răng khôn hàm trên độ 3B,Nhổ răng khôn,Tiểu phẫu,,,Răng,2500000,,,,,,,,2018-10-20 17:00:41+00,2025-08-26 01:56:25.145+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
efe80559-a82f-47ff-aebc-57b202168588,Nhổ răng khôn hàm trên độ 4A,Nhổ răng khôn,Tiểu phẫu,,,Răng,3000000,,,,,,,,2018-10-20 17:00:25+00,2025-08-26 01:56:34.694+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
18dcf71e-4d10-4e25-908b-13dbaa4ab278,Nhổ răng khôn hàm trên độ 4B,Nhổ răng khôn,Tiểu phẫu,,,Răng,4000000,,,,,,,,2018-10-20 17:00:26+00,2025-08-26 01:56:46.747+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
b52cc53b-5130-4a42-ac9a-e6ca61bacb98,Nhổ răng khôn hàm trên độ 5,Nhổ răng khôn,Tiểu phẫu,,,Răng,5000000,,,,,,,,2018-10-20 17:00:27+00,2025-08-26 01:55:40.555+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
8f68de09-879e-4b7c-b583-381a5a65bf53,Ghép huyết tương giàu tiểu cầu PRF,Nhổ răng khôn,Tiểu phẫu,,,Răng,500000,,,,,,,,2018-10-20 17:00:38+00,2018-10-20 17:00:38+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
ae0a846f-e47b-44ef-860a-5a1b71b18e8c,Nhổ răng bằng máy piezotome,Nhổ răng khôn,Tiểu phẫu,,,Răng,1000000,,,,,,,,2018-10-20 17:00:37+00,2025-08-26 02:23:52.298+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
4f6baa04-50d8-44b0-823f-4bb37c17bb5c,Cắt phanh lưỡi,Cắt phanh,Tiểu phẫu,,,Phanh,3000000,,,,,,,,2018-10-20 17:02:58+00,2025-08-26 01:46:19.433+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
1c0946fe-87d9-48e9-a8a3-88834c665518,Cắt phanh môi,Cắt phanh,Tiểu phẫu,,,Phanh,2000000,,,,,,,,2018-10-20 17:03:25+00,2025-08-26 01:45:59.411+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
19c1805f-0cdd-4833-90f0-17663ac92400,Nhổ chân răng,,Tiểu phẫu,,,Răng,0,,,,,,,,2018-10-20 17:00:01+00,2025-08-26 02:23:20.752+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
c7225304-23e8-46e2-b33a-91db24a69bd3,Răng sứ kim loại,,Răng sứ,,,Răng,1500000,,,,,,,,2018-10-20 17:01:17+00,2025-08-26 02:12:35.434+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
e4b08dc4-9e3f-4dba-a9d3-3c2a7c997e10,Răng sứ Titan,,Răng sứ,,,Răng,2500000,,,,,,,,2018-10-20 17:01:16+00,2025-08-26 02:11:55.106+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
,,,,,,,,,,,,,,,,,,
afc62a7e-51a7-4393-8659-0725e27bc4e9,Răng sứ Zirconia,Răng toàn sứ,Răng sứ,,,Răng,4000000,,,,,,,,2018-10-21 17:01:30+00,2025-08-26 02:12:28.544+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
0ea7a916-7af3-4438-9cb9-d9a6a5e4b770,Răng sứ Katana,Răng toàn sứ,Răng sứ,,,Răng,5000000,,,,,,,,2018-10-23 17:01:30+00,2025-08-26 02:12:48.495+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
77c3ccc8-7f67-43db-8b83-bd6507db2874,Răng sứ Roland,Răng toàn sứ,Răng sứ,,,Răng,6000000,,,,,,,,2018-10-24 17:01:30+00,2025-08-26 02:12:40.589+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
04a1d235-749f-48d7-9b85-15e510438cf0,Răng sứ Zirconia HT,Răng toàn sứ,Răng sứ,,,Răng,6000000,,,,,,,,2018-10-25 17:01:30+00,2025-08-26 02:12:59.205+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
8ab1840d-f93b-4e20-bd04-3dbb6b9f5a76,Răng sứ Venus,Răng toàn sứ,Răng sứ,,,Răng,5000000,,,,,,,,2018-10-26 17:01:30+00,2025-08-26 02:12:53.525+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
156fcf3c-b4cc-421f-b037-6a845e96470b,Răng sứ DD Bio,Răng toàn sứ,Răng sứ,,,Răng,6600000,,,,,,,,2018-10-20 17:00:01+00,2025-08-26 02:22:53.021+00,cd66e9e7-8f58-4608-830e-41501f42e16f,cd66e9e7-8f58-4608-830e-41501f42e16f
